Abril	阿布里尔; 阿布丽尔 (女名)
Reba	里巴;里芭(女名)
Regan	里甘;丽甘(女名)
Reilly	赖利;赖莉(女名)
Renata	雷娜塔(女名);雷纳塔
Reyna	雷纳;雷娜(女名)
Ricarda	里卡达;丽卡达(女名)
Ritt	丽特(女名);里特
Robyn	罗宾;萝宾(女名)
Rodney	罗德尼;罗德妮(女名)
Roffe	罗夫;罗芙(女名)
Rosalba	罗萨尔芭(女名);罗萨尔巴
Rosie	罗西;罗茜(女名)
Rowena	罗伊娜(女名);罗伊纳
Ruth	露丝(女名);鲁思
Sabina	萨比娜 (女名);萨比纳
Sabrina	萨布里纳;萨布丽娜(女名)
Sallyanne	萨利安尼;萨莉安妮(女名)
Scarlett	斯卡利特;斯卡莉特(女名)
Selma	塞尔马;塞尔玛(女名)
Sena	塞娜 (女名);塞纳
Shaina	谢纳;谢娜(女名)
Shakira	沙基拉;莎基拉(女名)
Shanice	沙尼斯;沙妮丝(女名)
Sharon	沙伦;  莎伦(女名)
Shelia	谢利亚;谢莉娅(女名)
Shelly	谢利;谢莉(女名)
Shirley	雪利;雪莉(女名)
Sienna	西恩纳;西恩娜(女名)
Simone	西蒙娜 (女名);西莫内
Sosa	索莎 (女名);索萨
Stacey	斯泰西;斯泰茜(女名)
Stacy	斯泰西;斯泰茜(女名)
Sydney	悉尼;悉妮(女名)
Terri	特里;特丽(女名)
Thalia	塔利亚;塔莉娅(女名)
Thomasina	托马西纳;托马西娜(女名)
Tia	蒂亚 ; 蒂娅 (女名)
Tomasina	托马西纳;托马西娜(女名)
Tomina	托米纳;托米娜(女名)
Toni	托尼;托妮(女名)
Tracey	特雷西;特蕾西(女名)
Tracy	特蕾西(女名);特雷西
Vasa	瓦莎(女名);瓦萨
Vicki	维基;薇姬(女名)
Vicky	维基;薇姬(女名)
Viola	维奥拉;薇奥拉(女名)
Viollet	维奥利特;维奥莉特(女名)
Vivien	维维恩;薇薇恩(女名)
Vyvian	维维安;薇薇安(女名)
Vyvyan	维维安;薇薇安(女名)
Willa	威拉;薇拉(女名)
Willie	威利;威莉(女名)(教名 William的昵称)
Willow	威洛;薇洛(女名)
Wilmot	威尔莫特;薇尔莫特(女名)(教名Wilhelmina、Williamot的昵称)
Winona	威诺纳;威诺娜(女名)
Zaria	扎里亚;扎丽娅 (女名)
